 ◦ 2020년 학교안전사고 발생현황(사고당시활동),,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,(단위 : 건),
지역,"학교
급별",구기운동,,보행/주행,,기타*,,장난/놀이,,기타운동,,식사/수면/휴식,,공부,,실험실습,,합계,
,,건수,분율,건수,분율,건수,분율,건수,분율,건수,분율,건수,분율,건수,분율,건수,분율,건수,분율
합계,유,90,1.50%,929,15.00%,"1,553",25.00%,"2,351",37.90%,256,4.10%,554,8.90%,433,7.00%,36,0.60%,"6,202",100.00%
합계,초,"2,918",24.10%,"2,784",23.00%,"1,744",14.40%,"1,997",16.50%,"1,206",9.90%,777,6.40%,474,3.90%,228,1.90%,"12,128",100.00%
합계,중,"6,105",51.00%,"1,662",13.90%,"1,495",12.50%,"1,047",8.70%,854,7.10%,462,3.90%,135,1.10%,221,1.80%,"11,981",100.00%
합계,고,"5,595",50.00%,"1,781",15.90%,"1,296",11.60%,426,3.80%,822,7.30%,501,4.50%,149,1.30%,621,5.50%,"11,191",100.00%
합계,특수,10,3.60%,82,29.70%,81,29.30%,14,5.10%,16,5.80%,30,10.90%,19,6.90%,24,8.70%,276,100.00%
합계,기타,56,34.60%,37,22.80%,22,13.60%,7,4.30%,19,11.70%,8,4.90%,3,1.90%,10,6.20%,162,100.00%
합계,계,"14,774",35.20%,"7,275",17.30%,"6,191",14.80%,"5,842",13.90%,"3,173",7.60%,"2,332",5.60%,"1,213",2.90%,"1,140",2.70%,"41,940",100.00%
서울,유,14,1.80%,135,16.90%,198,24.80%,260,32.50%,41,5.10%,76,9.50%,70,8.80%,5,0.60%,799,100.00%
서울,초,372,25.00%,374,25.20%,210,14.10%,205,13.80%,131,8.80%,103,6.90%,79,5.30%,13,0.90%,"1,487",100.00%
서울,중,710,53.10%,175,13.10%,189,14.10%,99,7.40%,95,7.10%,32,2.40%,16,1.20%,20,1.50%,"1,336",100.00%
서울,고,717,49.60%,221,15.30%,213,14.70%,50,3.50%,98,6.80%,53,3.70%,27,1.90%,68,4.70%,"1,447",100.00%
서울,특수,2,4.90%,11,26.80%,17,41.50%,3,7.30%,,,4,9.80%,2,4.90%,2,4.90%,41,100.00%
서울,기타,2,8.30%,7,29.20%,5,20.80%,2,8.30%,5,20.80%,1,4.20%,,,2,8.30%,24,100.00%
서울,소계,"1,817",35.40%,923,18.00%,832,16.20%,619,12.10%,370,7.20%,269,5.20%,194,3.80%,110,2.10%,"5,134",100.00%
부산,유,5,1.00%,95,19.00%,121,24.20%,211,42.10%,17,3.40%,42,8.40%,9,1.80%,1,0.20%,501,100.00%
부산,초,216,24.60%,206,23.50%,96,10.90%,173,19.70%,76,8.70%,64,7.30%,38,4.30%,9,1.00%,878,100.00%
부산,중,469,53.20%,137,15.50%,83,9.40%,100,11.30%,47,5.30%,32,3.60%,6,0.70%,8,0.90%,882,100.00%
부산,고,431,53.90%,153,19.10%,50,6.30%,34,4.30%,53,6.60%,36,4.50%,11,1.40%,32,4.00%,800,100.00%
부산,특수,2,5.60%,11,30.60%,16,44.40%,,,3,8.30%,1,2.80%,2,5.60%,1,2.80%,36,100.00%
부산,기타,3,25.00%,6,50.00%,2,16.70%,,,,,,,,,1,8.30%,12,100.00%
부산,소계,"1,126",36.20%,608,19.60%,368,11.80%,518,16.70%,196,6.30%,175,5.60%,66,2.10%,52,1.70%,"3,109",100.00%
대구,유,6,2.30%,31,12.10%,56,21.90%,67,26.20%,15,5.90%,73,28.50%,7,2.70%,1,0.40%,256,100.00%
대구,초,221,30.50%,163,22.50%,122,16.80%,92,12.70%,63,8.70%,23,3.20%,24,3.30%,17,2.30%,725,100.00%
대구,중,382,52.20%,96,13.10%,110,15.00%,33,4.50%,53,7.20%,23,3.10%,10,1.40%,25,3.40%,732,100.00%
대구,고,242,48.50%,83,16.60%,61,12.20%,16,3.20%,40,8.00%,10,2.00%,6,1.20%,41,8.20%,499,100.00%
대구,특수,,,9,52.90%,3,17.60%,,,1,5.90%,1,5.90%,2,11.80%,1,5.90%,17,100.00%
대구,기타,1,50.00%,,0.00%,1,50.00%,,,,,,,,,,,2,100.00%
대구,소계,852,38.20%,382,17.10%,353,15.80%,208,9.30%,172,7.70%,130,5.80%,49,2.20%,85,3.80%,"2,231",100.00%
인천 ,유,10,2.00%,71,14.30%,98,19.70%,206,41.40%,20,4.00%,52,10.50%,40,8.00%,,,497,100.00%
인천 ,초,64,20.40%,87,27.70%,42,13.40%,40,12.70%,29,9.20%,31,9.90%,11,3.50%,10,3.20%,314,100.00%
인천 ,중,157,49.70%,44,13.90%,38,12.00%,23,7.30%,37,11.70%,9,2.80%,3,0.90%,5,1.60%,316,100.00%
인천 ,고,253,49.80%,68,13.40%,62,12.20%,14,2.80%,62,12.20%,19,3.70%,7,1.40%,23,4.50%,508,100.00%
인천 ,특수,,,3,23.10%,4,30.80%,,,,,3,23.10%,2,15.40%,1,7.70%,13,100.00%
