 ◦ 2020년 학교안전사고 발생현황(장소),,,,,,,,,,,,,
,,,,,,,,,,,,(단위 : 건),
지역,"학교
급별",부속시설,,운동장,,교실,,통로,,교외활동,,합계,
,,건수,분율,건수,분율,건수,분율,건수,분율,건수,분율,건수,분율
합계,유,"1,086",17.50%,"1,224",19.70%,"3,252",52.40%,479,7.70%,161,2.60%,"6,202",100.00%
합계,초,"4,197",34.60%,"2,933",24.20%,"2,350",19.40%,"2,278",18.80%,370,3.10%,"12,128",100.00%
합계,중,"4,204",35.10%,"4,450",37.10%,"1,376",11.50%,"1,518",12.70%,433,3.60%,"11,981",100.00%
합계,고,"4,211",37.60%,"3,848",34.40%,"1,305",11.70%,"1,261",11.30%,566,5.10%,"11,191",100.00%
합계,특수,79,28.60%,37,13.40%,92,33.30%,54,19.60%,14,5.10%,276,100.00%
합계,기타,56,34.60%,49,30.20%,26,16.00%,17,10.50%,14,8.60%,162,100.00%
합계,계,"13,833",33.00%,"12,541",29.90%,"8,401",20.00%,"5,607",13.40%,"1,558",3.70%,"41,940",100.00%
서울,유,122,15.30%,145,18.10%,465,58.20%,44,5.50%,23,2.90%,799,100.00%
서울,초,433,29.10%,381,25.60%,353,23.70%,274,18.40%,46,3.10%,"1,487",100.00%
서울,중,483,36.20%,533,39.90%,108,8.10%,148,11.10%,64,4.80%,"1,336",100.00%
서울,고,451,31.20%,580,40.10%,156,10.80%,152,10.50%,108,7.50%,"1,447",100.00%
서울,특수,17,41.50%,5,12.20%,15,36.60%,3,7.30%,1,2.40%,41,100.00%
서울,기타,4,16.70%,5,20.80%,9,37.50%,5,20.80%,1,4.20%,24,100.00%
서울,소계,"1,510",29.40%,"1,649",32.10%,"1,106",21.50%,626,12.20%,243,4.70%,"5,134",100.00%
부산,유,83,16.60%,128,25.50%,234,46.70%,38,7.60%,18,3.60%,501,100.00%
부산,초,276,31.40%,232,26.40%,175,19.90%,175,19.90%,20,2.30%,878,100.00%
부산,중,241,27.30%,371,42.10%,116,13.20%,126,14.30%,28,3.20%,882,100.00%
