 ◦ 2021년 학교안전사고 발생현황(사고당시행동),,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,(단위 : 건),
지역,"학교
급별",구기운동,,기타*,,보행/주행,,장난/놀이,,기타운동,,식사/수면/휴식,,공부,,실험실습,,합계,
,,건수,분율,건수,분율,건수,분율,건수,분율,건수,분율,건수,분율,건수,분율,건수,분율,건수,분율
합계,유,128,1.40%,"2,797",30.50%,"1,335",14.50%,"3,548",38.60%,231,2.50%,674,7.30%,433,4.70%,34,0.40%,"9,180",100.00%
합계,초,"7,292",24.20%,"5,452",18.10%,"6,698",22.20%,"4,456",14.80%,"2,860",9.50%,"1,644",5.50%,"1,219",4.00%,533,1.80%,"30,154",100.00%
합계,중,"18,084",54.10%,"4,527",13.60%,"4,285",12.80%,"2,810",8.40%,"1,760",5.30%,"1,089",3.30%,309,0.90%,541,1.60%,"33,405",100.00%
합계,고,"11,005",56.10%,"2,341",11.90%,"2,722",13.90%,649,3.30%,"1,111",5.70%,657,3.40%,227,1.20%,898,4.60%,"19,610",100.00%
합계,특수,20,4.40%,145,31.70%,109,23.80%,43,9.40%,23,5.00%,49,10.70%,47,10.30%,22,4.80%,458,100.00%
합계,기타,145,42.60%,57,16.80%,49,14.40%,27,7.90%,26,7.60%,16,4.70%,6,1.80%,14,4.10%,340,100.00%
합계,계,"36,674",39.40%,"15,319",16.40%,"15,198",16.30%,"11,533",12.40%,"6,011",6.50%,"4,129",4.40%,"2,241",2.40%,"2,042",2.20%,"93,147",100.00%
서울,유,12,1.10%,324,30.80%,217,20.60%,311,29.60%,47,4.50%,65,6.20%,68,6.50%,7,0.70%,"1,051",100.00%
서울,초,888,23.40%,704,18.60%,983,25.90%,333,8.80%,457,12.00%,190,5.00%,193,5.10%,47,1.20%,"3,795",100.00%
서울,중,"2,872",55.40%,683,13.20%,631,12.20%,358,6.90%,355,6.80%,144,2.80%,78,1.50%,67,1.30%,"5,188",100.00%
서울,고,"1,639",57.00%,344,12.00%,416,14.50%,57,2.00%,198,6.90%,68,2.40%,39,1.40%,116,4.00%,"2,877",100.00%
서울,특수,5,4.80%,26,25.00%,26,25.00%,8,7.70%,6,5.80%,16,15.40%,12,11.50%,5,4.80%,104,100.00%
서울,기타,17,30.90%,13,23.60%,12,21.80%,1,1.80%,9,16.40%,1,1.80%,2,3.60%,  ,0.00%,55,100.00%
서울,소계,"5,433",41.60%,"2,094",16.00%,"2,285",17.50%,"1,068",8.20%,"1,072",8.20%,484,3.70%,392,3.00%,242,1.90%,"13,070",100.00%
부산,유,10,1.30%,199,26.70%,102,13.70%,351,47.20%,12,1.60%,51,6.90%,17,2.30%,2,0.30%,744,100.00%
부산,초,357,21.50%,277,16.70%,395,23.80%,294,17.70%,157,9.50%,69,4.20%,74,4.50%,35,2.10%,"1,658",100.00%
부산,중,964,52.40%,202,11.00%,275,14.90%,211,11.50%,73,4.00%,54,2.90%,19,1.00%,42,2.30%,"1,840",100.00%
부산,고,692,60.90%,100,8.80%,189,16.60%,23,2.00%,36,3.20%,38,3.30%,13,1.10%,46,4.00%,"1,137",100.00%
부산,특수,  ,0.00%,15,45.50%,5,15.20%,1,3.00%,4,12.10%,4,12.10%,3,9.10%,1,3.00%,33,100.00%
부산,기타,11,29.70%,6,16.20%,8,21.60%,5,13.50%,  ,0.00%,4,10.80%,  ,0.00%,3,8.10%,37,100.00%
부산,소계,"2,034",37.30%,799,14.70%,974,17.90%,885,16.20%,282,5.20%,220,4.00%,126,2.30%,129,2.40%,"5,449",100.00%
대구,유,12,3.00%,156,38.80%,47,11.70%,133,33.10%,8,2.00%,24,6.00%,21,5.20%,1,0.20%,402,100.00%
대구,초,464,28.20%,307,18.70%,358,21.80%,175,10.70%,166,10.10%,63,3.80%,77,4.70%,33,2.00%,"1,643",100.00%
대구,중,"1,082",58.80%,230,12.50%,203,11.00%,110,6.00%,98,5.30%,62,3.40%,19,1.00%,35,1.90%,"1,839",100.00%
대구,고,516,52.90%,98,10.00%,173,17.70%,31,3.20%,47,4.80%,30,3.10%,8,0.80%,73,7.50%,976,100.00%
대구,특수,  ,0.00%,4,28.60%,3,21.40%,  ,0.00%,1,7.10%,2,14.30%,3,21.40%,1,7.10%,14,100.00%
대구,기타,3,30.00%,3,30.00%,1,10.00%,  ,0.00%,1,10.00%,  ,0.00%,  ,0.00%,2,20.00%,10,100.00%
대구,소계,"2,077",42.50%,798,16.30%,785,16.10%,449,9.20%,321,6.60%,181,3.70%,128,2.60%,145,3.00%,"4,884",100.00%
인천 ,유,10,1.30%,207,27.80%,100,13.40%,285,38.30%,21,2.80%,68,9.10%,51,6.90%,2,0.30%,744,100.00%
인천 ,초,210,19.90%,214,20.30%,273,25.90%,105,10.00%,103,9.80%,80,7.60%,47,4.50%,21,2.00%,"1,053",100.00%
인천 ,중,619,53.50%,140,12.10%,148,12.80%,98,8.50%,78,6.70%,44,3.80%,9,0.80%,20,1.70%,"1,156",100.00%
인천 ,고,579,57.50%,124,12.30%,116,11.50%,38,3.80%,69,6.90%,26,2.60%,7,0.70%,48,4.80%,"1,007",100.00%
인천 ,특수,2,6.50%,11,35.50%,7,22.60%,3,9.70%,1,3.20%,2,6.50%,5,16.10%,  ,0.00%,31,100.00%
인천 ,기타,35,55.60%,10,15.90%,6,9.50%,8,12.70%,1,1.60%,  ,0.00%,1,1.60%,2,3.20%,63,100.00%
인천 ,소계,"1,455",35.90%,706,17.40%,650,16.00%,537,13.20%,273,6.70%,220,5.40%,120,3.00%,93,2.30%,"4,054",100.00%
광주,유,  ,0.00%,105,27.60%,81,21.30%,139,36.50%,11,2.90%,21,5.50%,22,5.80%,2,0.50%,381,100.00%
광주,초,244,25.20%,156,16.10%,245,25.30%,122,12.60%,85,8.80%,60,6.20%,38,3.90%,20,2.10%,970,100.00%
광주,중,614,50.40%,179,14.70%,161,13.20%,123,10.10%,65,5.30%,54,4.40%,8,0.70%,14,1.10%,"1,218",100.00%
광주,고,346,55.50%,68,10.90%,92,14.80%,25,4.00%,33,5.30%,23,3.70%,8,1.30%,28,4.50%,623,100.00%
광주,특수,  ,0.00%,3,27.30%,3,27.30%,3,27.30%,  ,0.00%,2,18.20%,  ,0.00%,  ,0.00%,11,100.00%
광주,기타,5,71.40%,  ,0.00%,  ,0.00%,1,14.30%,  ,0.00%,  ,0.00%,1,14.30%,  ,0.00%,7,100.00%
광주,소계,"1,209",37.70%,511,15.90%,582,18.10%,413,12.90%,194,6.00%,160,5.00%,77,2.40%,64,2.00%,"3,210",100.00%
대전,유,6,1.30%,114,24.90%,62,13.60%,208,45.50%,6,1.30%,43,9.40%,17,3.70%,1,0.20%,457,100.00%
대전,초,209,29.80%,130,18.50%,151,21.50%,71,10.10%,54,7.70%,36,5.10%,31,4.40%,19,2.70%,701,100.00%
대전,중,623,59.10%,135,12.80%,117,11.10%,58,5.50%,62,5.90%,23,2.20%,14,1.30%,23,2.20%,"1,055",100.00%
대전,고,412,60.80%,92,13.60%,73,10.80%,21,3.10%,45,6.60%,14,2.10%,4,0.60%,17,2.50%,678,100.00%
대전,특수,  ,0.00%,5,27.80%,6,33.30%,2,11.10%,  ,0.00%,1,5.60%,3,16.70%,1,5.60%,18,100.00%
대전,기타,13,48.10%,2,7.40%,2,7.40%,5,18.50%,  ,0.00%,1,3.70%,  ,0.00%,4,14.80%,27,100.00%
대전,소계,"1,263",43.00%,478,16.30%,411,14.00%,365,12.40%,167,5.70%,118,4.00%,69,2.40%,65,2.20%,"2,936",100.00%
울산,유,3,1.30%,86,35.80%,27,11.30%,85,35.40%,6,2.50%,17,7.10%,14,5.80%,2,0.80%,240,100.00%
울산,초,223,23.00%,150,15.50%,220,22.70%,178,18.40%,75,7.70%,60,6.20%,44,4.50%,20,2.10%,970,100.00%
울산,중,459,49.80%,113,12.30%,139,15.10%,103,11.20%,50,5.40%,34,3.70%,2,0.20%,22,2.40%,922,100.00%
울산,고,258,55.00%,70,14.90%,65,13.90%,12,2.60%,17,3.60%,19,4.10%,6,1.30%,22,4.70%,469,100.00%
울산,특수,1,9.10%,6,54.50%,3,27.30%,  ,0.00%,  ,0.00%,1,9.10%,  ,0.00%,  ,0.00%,11,100.00%
울산,기타,  ,0.00%,1,100.00%,  ,0.00%,  ,0.00%,  ,0.00%,  ,0.00%,  ,0.00%,  ,0.00%,1,100.00%
울산,소계,944,36.10%,426,16.30%,454,17.40%,378,14.50%,148,5.70%,131,5.00%,66,2.50%,66,2.50%,"2,613",100.00%
