 ◦ 2022년 학교안전사고 발생건수(사고당시활동),,,,,,,,,,,,,,,,,,,
(단위 : 건),,,,,,,,,,,,,,,,,,,
지역,"학교
급별",구기운동,,보행/주행,,기타*,,장난/놀이,,기타운동,,식사/수면/휴식,,공부,,실험실습,,합계,
,,건수,분율,건수,분율,건수,분율,건수,분율,건수,분율,건수,분율,건수,분율,건수,분율,건수,분율
합계,유,136,1.50%,"1,384",15.40%,"2,654",29.40%,"3,461",38.40%,262,2.90%,631,7.00%,440,4.90%,47,0.50%,"9,015",100.00%
합계,초,"12,944",24.50%,"11,672",22.10%,"7,990",15.10%,"9,965",18.90%,"4,393",8.30%,"2,988",5.70%,"1,913",3.60%,886,1.70%,"52,751",100.00%
합계,중,"30,274",53.00%,"7,229",12.60%,"7,794",13.60%,"5,568",9.70%,"2,988",5.20%,"1,956",3.40%,579,1.00%,780,1.40%,"57,168",100.00%
합계,고,"16,983",57.80%,"3,614",12.30%,"3,802",12.90%,"1,096",3.70%,"1,738",5.90%,890,3.00%,252,0.90%,988,3.40%,"29,363",100.00%
합계,특수,26,4.70%,122,21.90%,174,31.20%,51,9.20%,38,6.80%,69,12.40%,47,8.40%,30,5.40%,557,100.00%
합계,기타,214,44.10%,93,19.20%,67,13.80%,34,7.00%,28,5.80%,19,3.90%,10,2.10%,20,4.10%,485,100.00%
합계,계,"60,577",40.60%,"24,114",16.10%,"22,481",15.10%,"20,175",13.50%,"9,447",6.30%,"6,553",4.40%,"3,241",2.20%,"2,751",1.80%,"149,339",100.00%
서울,유,16,1.40%,224,19.80%,332,29.40%,336,29.70%,57,5.00%,67,5.90%,95,8.40%,4,0.40%,"1,131",100.00%
서울,초,"1,994",23.60%,"2,031",24.10%,"1,433",17.00%,"1,081",12.80%,901,10.70%,503,6.00%,382,4.50%,113,1.30%,"8,438",100.00%
서울,중,"5,541",55.50%,"1,235",12.40%,"1,360",13.60%,778,7.80%,528,5.30%,308,3.10%,112,1.10%,125,1.30%,"9,987",100.00%
서울,고,"2,872",60.70%,561,11.90%,590,12.50%,153,3.20%,295,6.20%,84,1.80%,41,0.90%,132,2.80%,"4,728",100.00%
서울,특수,6,5.90%,17,16.80%,33,32.70%,12,11.90%,8,7.90%,9,8.90%,12,11.90%,4,4.00%,101,100.00%
서울,기타,32,32.70%,27,27.60%,15,15.30%,5,5.10%,6,6.10%,7,7.10%,2,2.00%,4,4.10%,98,100.00%
서울,소계,"10,461",42.70%,"4,095",16.70%,"3,763",15.40%,"2,365",9.70%,"1,795",7.30%,978,4.00%,644,2.60%,382,1.60%,"24,483",100.00%
부산,유,4,0.60%,95,14.60%,179,27.50%,308,47.20%,21,3.20%,28,4.30%,13,2.00%,4,0.60%,652,100.00%
부산,초,624,22.20%,639,22.70%,368,13.10%,706,25.10%,175,6.20%,152,5.40%,102,3.60%,46,1.60%,"2,812",100.00%
부산,중,"1,494",54.80%,324,11.90%,305,11.20%,313,11.50%,145,5.30%,69,2.50%,17,0.60%,58,2.10%,"2,725",100.00%
부산,고,949,61.40%,189,12.20%,146,9.40%,55,3.60%,76,4.90%,48,3.10%,17,1.10%,66,4.30%,"1,546",100.00%
부산,특수,1,1.60%,10,16.10%,27,43.50%,6,9.70%,4,6.50%,7,11.30%,4,6.50%,3,4.80%,62,100.00%
부산,기타,9,32.10%,4,14.30%,7,25.00%,2,7.10%,3,10.70%,  ,0.00%,1,3.60%,2,7.10%,28,100.00%
부산,소계,"3,081",39.40%,"1,261",16.10%,"1,032",13.20%,"1,390",17.80%,424,5.40%,304,3.90%,154,2.00%,179,2.30%,"7,825",100.00%
대구,유,9,2.20%,75,18.60%,116,28.70%,143,35.40%,10,2.50%,29,7.20%,19,4.70%,3,0.70%,404,100.00%
대구,초,562,25.20%,501,22.50%,344,15.50%,346,15.50%,221,9.90%,104,4.70%,100,4.50%,48,2.20%,"2,226",100.00%
대구,중,"1,248",53.10%,286,12.20%,270,11.50%,239,10.20%,162,6.90%,79,3.40%,23,1.00%,44,1.90%,"2,351",100.00%
대구,고,665,56.00%,145,12.20%,143,12.00%,48,4.00%,70,5.90%,51,4.30%,5,0.40%,60,5.10%,"1,187",100.00%
대구,특수,2,5.90%,9,26.50%,13,38.20%,4,11.80%,2,5.90%,  ,0.00%,3,8.80%,1,2.90%,34,100.00%
대구,기타,13,59.10%,2,9.10%,4,18.20%,  ,0.00%,2,9.10%,  ,0.00%,1,4.50%,  ,0.00%,22,100.00%
대구,소계,"2,499",40.20%,"1,018",16.40%,890,14.30%,780,12.50%,467,7.50%,263,4.20%,151,2.40%,156,2.50%,"6,224",100.00%
