 ◦ 2022년 학교안전사고 발생건수(시간),,,,,,,,,,,,,,,,,,,,,,,
(단위 : 건),,,,,,,,,,,,,,,,,,,,,,,
지역,"학교
급별",체육수업,,점심시간,,수업시간,,휴식/청소,,학교행사,,등하교,,특별활동,,기타,,석식시간,,기숙사생활,,합계,
,,건수,분율,건수,분율,건수,분율,건수,분율,건수,분율,건수,분율,건수,분율,건수,분율,건수,분율,건수,분율,건수,분율
합계,유,951,10.50%,646,7.20%,"4,368",48.50%,526,5.80%,321,3.60%,494,5.50%,4,0.00%,"1,700",18.90%,5,0.10%,  ,0.00%,"9,015",100.00%
합계,초,"17,077",32.40%,"11,761",22.30%,"7,606",14.40%,"8,282",15.70%,"1,628",3.10%,"4,086",7.70%,953,1.80%,"1,355",2.60%,1,0.00%,2,0.00%,"52,751",100.00%
합계,중,"26,621",46.60%,"9,986",17.50%,"4,089",7.20%,"7,358",12.90%,"3,043",5.30%,"1,660",2.90%,"3,159",5.50%,"1,214",2.10%,11,0.00%,27,0.00%,"57,168",100.00%
합계,고,"11,957",40.70%,"4,905",16.70%,"2,500",8.50%,"2,461",8.40%,"3,330",11.30%,"1,153",3.90%,"1,312",4.50%,766,2.60%,506,1.70%,473,1.60%,"29,363",100.00%
합계,특수,91,16.30%,81,14.50%,198,35.50%,67,12.00%,20,3.60%,44,7.90%,14,2.50%,35,6.30%,1,0.20%,6,1.10%,557,100.00%
합계,기타,144,29.70%,62,12.80%,67,13.80%,81,16.70%,53,10.90%,29,6.00%,28,5.80%,3,0.60%,4,0.80%,14,2.90%,485,100.00%
합계,계,"56,841",38.10%,"27,441",18.40%,"18,828",12.60%,"18,775",12.60%,"8,395",5.60%,"7,466",5.00%,"5,470",3.70%,"5,073",3.40%,528,0.40%,522,0.30%,"149,339",100.00%
서울,유,144,12.70%,82,7.30%,568,50.20%,67,5.90%,38,3.40%,70,6.20%,  ,0.00%,160,14.10%,2,0.20%,  ,0.00%,"1,131",100.00%
서울,초,"3,204",38.00%,"1,428",16.90%,"1,350",16.00%,"1,297",15.40%,185,2.20%,685,8.10%,58,0.70%,230,2.70%,1,0.00%,  ,0.00%,"8,438",100.00%
서울,중,"4,601",46.10%,"1,662",16.60%,996,10.00%,"1,238",12.40%,401,4.00%,307,3.10%,545,5.50%,236,2.40%,1,0.00%,  ,0.00%,"9,987",100.00%
서울,고,"2,187",46.30%,804,17.00%,464,9.80%,385,8.10%,360,7.60%,210,4.40%,110,2.30%,153,3.20%,23,0.50%,32,0.70%,"4,728",100.00%
서울,특수,16,15.80%,13,12.90%,41,40.60%,17,16.80%,1,1.00%,5,5.00%,2,2.00%,2,2.00%,1,1.00%,3,3.00%,101,100.00%
서울,기타,29,29.60%,11,11.20%,14,14.30%,22,22.40%,6,6.10%,13,13.30%,2,2.00%,1,1.00%,  ,0.00%,  ,0.00%,98,100.00%
서울,소계,"10,181",41.60%,"4,000",16.30%,"3,433",14.00%,"3,026",12.40%,991,4.00%,"1,290",5.30%,717,2.90%,782,3.20%,28,0.10%,35,0.10%,"24,483",100.00%
부산,유,39,6.00%,38,5.80%,317,48.60%,56,8.60%,25,3.80%,37,5.70%,  ,0.00%,140,21.50%,  ,0.00%,  ,0.00%,652,100.00%
부산,초,777,27.60%,705,25.10%,363,12.90%,543,19.30%,60,2.10%,248,8.80%,49,1.70%,67,2.40%,  ,0.00%,  ,0.00%,"2,812",100.00%
부산,중,"1,260",46.20%,517,19.00%,197,7.20%,367,13.50%,128,4.70%,94,3.40%,117,4.30%,44,1.60%,  ,0.00%,1,0.00%,"2,725",100.00%
부산,고,640,41.40%,243,15.70%,140,9.10%,138,8.90%,150,9.70%,79,5.10%,78,5.00%,16,1.00%,44,2.80%,18,1.20%,"1,546",100.00%
부산,특수,8,12.90%,10,16.10%,20,32.30%,10,16.10%,3,4.80%,5,8.10%,3,4.80%,3,4.80%,  ,0.00%,  ,0.00%,62,100.00%
부산,기타,5,17.90%,4,14.30%,9,32.10%,1,3.60%,6,21.40%,3,10.70%,  ,0.00%,  ,0.00%,  ,0.00%,  ,0.00%,28,100.00%
부산,소계,"2,729",34.90%,"1,517",19.40%,"1,046",13.40%,"1,115",14.20%,372,4.80%,466,6.00%,247,3.20%,270,3.50%,44,0.60%,19,0.20%,"7,825",100.00%
대구,유,30,7.40%,25,6.20%,187,46.30%,28,6.90%,21,5.20%,23,5.70%,  ,0.00%,90,22.30%,  ,0.00%,  ,0.00%,404,100.00%
대구,초,723,32.50%,357,16.00%,384,17.30%,299,13.40%,91,4.10%,226,10.20%,80,3.60%,66,3.00%,  ,0.00%,  ,0.00%,"2,226",100.00%
대구,중,"1,185",50.40%,290,12.30%,159,6.80%,298,12.70%,126,5.40%,79,3.40%,161,6.80%,51,2.20%,1,0.00%,1,0.00%,"2,351",100.00%
대구,고,491,41.40%,179,15.10%,97,8.20%,79,6.70%,147,12.40%,47,4.00%,69,5.80%,31,2.60%,30,2.50%,17,1.40%,"1,187",100.00%
대구,특수,7,20.60%,1,2.90%,11,32.40%,4,11.80%,  ,0.00%,8,23.50%,1,2.90%,2,5.90%,  ,0.00%,  ,0.00%,34,100.00%
대구,기타,12,54.50%,1,4.50%,3,13.60%,1,4.50%,3,13.60%,  ,0.00%,1,4.50%,1,4.50%,  ,0.00%,  ,0.00%,22,100.00%
대구,소계,"2,448",39.30%,853,13.70%,841,13.50%,709,11.40%,388,6.20%,383,6.20%,312,5.00%,241,3.90%,31,0.50%,18,0.30%,"6,224",100.00%
인천,유,90,11.10%,48,5.90%,414,51.00%,38,4.70%,26,3.20%,46,5.70%,  ,0.00%,149,18.30%,1,0.10%,  ,0.00%,812,100.00%
인천,초,656,30.90%,516,24.30%,306,14.40%,323,15.20%,52,2.40%,178,8.40%,44,2.10%,49,2.30%,  ,0.00%,  ,0.00%,"2,124",100.00%
인천,중,"1,044",43.00%,467,19.20%,182,7.50%,314,12.90%,144,5.90%,66,2.70%,143,5.90%,69,2.80%,1,0.00%,  ,0.00%,"2,430",100.00%
인천,고,672,44.70%,251,16.70%,100,6.70%,132,8.80%,111,7.40%,68,4.50%,84,5.60%,38,2.50%,26,1.70%,21,1.40%,"1,503",100.00%
인천,특수,4,10.00%,4,10.00%,18,45.00%,1,2.50%,3,7.50%,3,7.50%,2,5.00%,5,12.50%,  ,0.00%,  ,0.00%,40,100.00%
인천,기타,27,28.10%,17,17.70%,10,10.40%,24,25.00%,2,2.10%,1,1.00%,15,15.60%,  ,0.00%,  ,0.00%,  ,0.00%,96,100.00%
인천,소계,"2,493",35.60%,"1,303",18.60%,"1,030",14.70%,832,11.90%,338,4.80%,362,5.20%,288,4.10%,310,4.40%,28,0.40%,21,0.30%,"7,005",100.00%
광주,유,23,9.10%,19,7.50%,124,49.00%,15,5.90%,7,2.80%,14,5.50%,  ,0.00%,51,20.20%,  ,0.00%,  ,0.00%,253,100.00%
광주,초,430,31.50%,303,22.20%,156,11.40%,255,18.70%,49,3.60%,99,7.30%,22,1.60%,50,3.70%,  ,0.00%,  ,0.00%,"1,364",100.00%
광주,중,899,48.10%,314,16.80%,96,5.10%,279,14.90%,94,5.00%,50,2.70%,93,5.00%,44,2.40%,  ,0.00%,1,0.10%,"1,870",100.00%
광주,고,331,37.60%,140,15.90%,87,9.90%,83,9.40%,105,11.90%,38,4.30%,51,5.80%,18,2.00%,21,2.40%,6,0.70%,880,100.00%
광주,특수,2,11.80%,3,17.60%,5,29.40%,1,5.90%,  ,0.00%,2,11.80%,3,17.60%,1,5.90%,  ,0.00%,  ,0.00%,17,100.00%
광주,기타,4,36.40%,1,9.10%,2,18.20%,2,18.20%,1,9.10%,1,9.10%,  ,0.00%,  ,0.00%,  ,0.00%,  ,0.00%,11,100.00%
광주,소계,"1,689",38.40%,780,17.70%,470,10.70%,635,14.40%,256,5.80%,204,4.60%,169,3.80%,164,3.70%,21,0.50%,7,0.20%,"4,395",100.00%
대전,유,40,8.80%,35,7.70%,222,48.80%,22,4.80%,19,4.20%,16,3.50%,  ,0.00%,101,22.20%,  ,0.00%,  ,0.00%,455,100.00%
대전,초,471,36.50%,240,18.60%,203,15.70%,144,11.20%,38,2.90%,104,8.10%,41,3.20%,48,3.70%,  ,0.00%,  ,0.00%,"1,289",100.00%
대전,중,836,53.00%,181,11.50%,110,7.00%,144,9.10%,86,5.50%,52,3.30%,130,8.20%,37,2.30%,  ,0.00%,  ,0.00%,"1,576",100.00%
대전,고,439,43.50%,154,15.30%,76,7.50%,61,6.00%,88,8.70%,36,3.60%,97,9.60%,28,2.80%,23,2.30%,7,0.70%,"1,009",100.00%
대전,특수,3,12.50%,2,8.30%,6,25.00%,4,16.70%,1,4.20%,6,25.00%,  ,0.00%,2,8.30%,  ,0.00%,  ,0.00%,24,100.00%
대전,기타,2,5.10%,2,5.10%,7,17.90%,9,23.10%,9,23.10%,3,7.70%,5,12.80%,  ,0.00%,  ,0.00%,2,5.10%,39,100.00%
대전,소계,"1,791",40.80%,614,14.00%,624,14.20%,384,8.70%,241,5.50%,217,4.90%,273,6.20%,216,4.90%,23,0.50%,9,0.20%,"4,392",100.00%
울산,유,18,9.60%,16,8.50%,76,40.40%,21,11.20%,11,5.90%,11,5.90%,  ,0.00%,35,18.60%,  ,0.00%,  ,0.00%,188,100.00%
울산,초,499,30.10%,400,24.20%,179,10.80%,301,18.20%,65,3.90%,139,8.40%,37,2.20%,36,2.20%,  ,0.00%,  ,0.00%,"1,656",100.00%
울산,중,633,44.70%,310,21.90%,83,5.90%,182,12.90%,71,5.00%,42,3.00%,73,5.20%,21,1.50%,  ,0.00%,1,0.10%,"1,416",100.00%
울산,고,280,37.60%,135,18.10%,65,8.70%,51,6.90%,99,13.30%,38,5.10%,37,5.00%,22,3.00%,8,1.10%,9,1.20%,744,100.00%
울산,특수,4,20.00%,3,15.00%,8,40.00%,1,5.00%,1,5.00%,1,5.00%,  ,0.00%,2,10.00%,  ,0.00%,  ,0.00%,20,100.00%
울산,기타,  ,0.00%,  ,0.00%,  ,0.00%,1,50.00%,1,50.00%,  ,0.00%,  ,0.00%,  ,0.00%,  ,0.00%,  ,0.00%,2,100.00%
울산,소계,"1,434",35.60%,864,21.50%,411,10.20%,557,13.80%,248,6.20%,231,5.70%,147,3.70%,116,2.90%,8,0.20%,10,0.20%,"4,026",100.00%
세종,유,42,14.80%,19,6.70%,151,53.20%,6,2.10%,7,2.50%,13,4.60%,  ,0.00%,46,16.20%,  ,0.00%,  ,0.00%,284,100.00%
세종,초,263,32.10%,157,19.10%,129,15.70%,144,17.60%,25,3.00%,58,7.10%,18,2.20%,26,3.20%,  ,0.00%,  ,0.00%,820,100.00%
세종,중,300,45.10%,105,15.80%,66,9.90%,88,13.20%,49,7.40%,24,3.60%,26,3.90%,7,1.10%,  ,0.00%,  ,0.00%,665,100.00%
세종,고,91,40.10%,32,14.10%,32,14.10%,13,5.70%,23,10.10%,14,6.20%,7,3.10%,12,5.30%,3,1.30%,  ,0.00%,227,100.00%
세종,특수,1,16.70%,2,33.30%,1,16.70%,  ,0.00%,1,16.70%,  ,0.00%,  ,0.00%,1,16.70%,  ,0.00%,  ,0.00%,6,100.00%
세종,기타,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
세종,소계,697,34.80%,315,15.70%,379,18.90%,251,12.50%,105,5.20%,109,5.40%,51,2.50%,92,4.60%,3,0.10%,  ,0.00%,"2,002",100.00%
경기,유,288,13.10%,167,7.60%,"1,054",47.80%,114,5.20%,55,2.50%,123,5.60%,2,0.10%,403,18.30%,  ,0.00%,  ,0.00%,"2,206",100.00%
경기,초,"5,526",34.00%,"3,812",23.50%,"2,292",14.10%,"2,506",15.40%,385,2.40%,"1,263",7.80%,172,1.10%,293,1.80%,  ,0.00%,  ,0.00%,"16,249",100.00%
경기,중,"9,585",47.20%,"3,711",18.30%,"1,343",6.60%,"2,806",13.80%,"1,002",4.90%,578,2.80%,897,4.40%,370,1.80%,  ,0.00%,1,0.00%,"20,293",100.00%
경기,고,"3,973",42.20%,"1,814",19.30%,671,7.10%,860,9.10%,"1,001",10.60%,341,3.60%,303,3.20%,242,2.60%,114,1.20%,89,0.90%,"9,408",100.00%
경기,특수,17,14.90%,17,14.90%,49,43.00%,10,8.80%,5,4.40%,6,5.30%,2,1.80%,8,7.00%,  ,0.00%,  ,0.00%,114,100.00%
경기,기타,37,37.00%,21,21.00%,14,14.00%,10,10.00%,8,8.00%,6,6.00%,1,1.00%,  ,0.00%,2,2.00%,1,1.00%,100,100.00%
경기,소계,"19,426",40.20%,"9,542",19.70%,"5,423",11.20%,"6,306",13.00%,"2,456",5.10%,"2,317",4.80%,"1,377",2.80%,"1,316",2.70%,116,0.20%,91,0.20%,"48,370",100.00%
강원,유,28,10.60%,18,6.80%,130,49.10%,22,8.30%,9,3.40%,10,3.80%,  ,0.00%,48,18.10%,  ,0.00%,  ,0.00%,265,100.00%
강원,초,547,26.20%,530,25.30%,314,15.00%,262,12.50%,110,5.30%,179,8.60%,64,3.10%,83,4.00%,  ,0.00%,2,0.10%,"2,091",100.00%
강원,중,747,44.80%,253,15.20%,126,7.60%,193,11.60%,130,7.80%,40,2.40%,141,8.50%,32,1.90%,4,0.20%,1,0.10%,"1,667",100.00%
강원,고,362,36.80%,128,13.00%,94,9.50%,64,6.50%,166,16.90%,23,2.30%,86,8.70%,27,2.70%,12,1.20%,23,2.30%,985,100.00%
강원,특수,  ,0.00%,3,30.00%,3,30.00%,1,10.00%,1,10.00%,  ,0.00%,  ,0.00%,1,10.00%,  ,0.00%,1,10.00%,10,100.00%
강원,기타,1,  ,  ,  ,  ,  ,  ,  ,2,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,3,0.00%
강원,소계,"1,685",33.60%,932,18.60%,667,13.30%,542,10.80%,418,8.30%,252,5.00%,291,5.80%,191,3.80%,16,0.30%,27,0.50%,"5,021",100.00%
충북,유,16,6.70%,13,5.40%,113,47.30%,12,5.00%,6,2.50%,16,6.70%,1,0.40%,62,25.90%,  ,0.00%,  ,0.00%,239,100.00%
충북,초,456,30.90%,306,20.70%,222,15.10%,218,14.80%,60,4.10%,95,6.40%,54,3.70%,64,4.30%,  ,0.00%,  ,0.00%,"1,475",100.00%
충북,중,632,43.50%,250,17.20%,90,6.20%,186,12.80%,104,7.20%,40,2.80%,116,8.00%,26,1.80%,1,0.10%,8,0.60%,"1,453",100.00%
충북,고,220,31.30%,94,13.40%,65,9.20%,52,7.40%,156,22.20%,19,2.70%,53,7.50%,11,1.60%,13,1.80%,20,2.80%,703,100.00%
충북,특수,5,17.20%,4,13.80%,11,37.90%,4,13.80%,  ,0.00%,1,3.40%,1,3.40%,3,10.30%,  ,0.00%,  ,0.00%,29,100.00%
충북,기타,5,45.50%,  ,0.00%,  ,0.00%,2,18.20%,2,18.20%,  ,0.00%,  ,0.00%,1,9.10%,  ,0.00%,1,9.10%,11,100.00%
