 ◦ 2022년 학교안전사고 발생건수(장소),,,,,,,,,,,,,
(단위 : 건),,,,,,,,,,,,,
지역,"학교
급별",운동장,,부속시설,,교실,,통로,,교외활동,,합계,
,,건수,분율,건수,분율,건수,분율,건수,분율,건수,분율,건수,분율
합계,유,"1,728",19.20%,"1,772",19.70%,"4,257",47.20%,789,8.80%,469,5.20%,"9,015",100.00%
합계,초,"13,889",26.30%,"17,414",33.00%,"10,205",19.30%,"9,425",17.90%,"1,818",3.40%,"52,751",100.00%
합계,중,"24,806",43.40%,"17,743",31.00%,"5,952",10.40%,"6,862",12.00%,"1,805",3.20%,"57,168",100.00%
합계,고,"12,704",43.30%,"10,164",34.60%,"2,429",8.30%,"2,384",8.10%,"1,682",5.70%,"29,363",100.00%
합계,특수,97,17.40%,165,29.60%,170,30.50%,87,15.60%,38,6.80%,557,100.00%
합계,기타,195,40.20%,151,31.10%,59,12.20%,38,7.80%,42,8.70%,485,100.00%
합계,계,"53,419",35.80%,"47,409",31.70%,"23,072",15.40%,"19,585",13.10%,"5,854",3.90%,"149,339",100.00%
서울,유,189,17.40%,201,19.10%,598,53.30%,92,7.50%,51,2.70%,"1,131",100.00%
서울,초,"2,280",34.90%,"2,726",25.40%,"1,839",19.90%,"1,367",17.50%,226,2.20%,"8,438",100.00%
서울,중,"4,657",35.60%,"2,941",41.50%,"1,018",10.20%,"1,059",9.80%,312,2.90%,"9,987",100.00%
서울,고,"2,202",34.40%,"1,526",42.00%,351,8.10%,371,9.70%,278,5.80%,"4,728",100.00%
서울,특수,15,29.80%,35,11.50%,37,43.30%,10,11.50%,4,3.80%,101,100.00%
서울,기타,41,36.40%,17,34.50%,19,10.90%,11,16.40%,10,1.80%,98,100.00%
서울,소계,"9,384",33.60%,"7,446",34.90%,"3,862",16.30%,"2,910",11.90%,881,3.30%,"24,483",100.00%
부산,유,131,17.90%,122,20.80%,307,48.80%,51,7.70%,41,4.80%,652,100.00%
부산,초,858,35.30%,812,21.60%,516,19.00%,551,20.60%,75,3.60%,"2,812",100.00%
부산,중,"1,172",28.40%,832,42.90%,295,11.10%,336,14.10%,90,3.40%,"2,725",100.00%
부산,고,724,34.30%,482,41.90%,159,9.50%,99,10.40%,82,4.00%,"1,546",100.00%
부산,특수,8,36.40%,16,15.20%,23,36.40%,11,9.10%,4,3.00%,62,100.00%
부산,기타,5,32.40%,12,32.40%,3,16.20%,4,16.20%,4,2.70%,28,100.00%
부산,소계,"2,898",30.40%,"2,276",33.00%,"1,303",18.50%,"1,052",14.40%,296,3.80%,"7,825",100.00%
대구,유,74,16.70%,54,19.90%,201,45.00%,43,9.70%,32,8.70%,404,100.00%
대구,초,452,42.70%,853,20.80%,423,15.20%,396,18.70%,102,2.60%,"2,226",100.00%
대구,중,"1,045",31.60%,682,45.40%,258,10.90%,270,8.90%,96,3.20%,"2,351",100.00%
대구,고,573,26.80%,294,42.00%,113,12.30%,103,11.10%,104,7.80%,"1,187",100.00%
대구,특수,9,35.70%,8,7.10%,9,28.60%,6,14.30%,2,14.30%,34,100.00%
대구,기타,5,10.00%,12,40.00%,1,30.00%,1,20.00%,3,0.00%,22,100.00%
대구,소계,"2,158",33.10%,"1,903",34.20%,"1,005",15.50%,819,12.80%,339,4.40%,"6,224",100.00%
인천,유,144,21.00%,179,12.90%,382,53.60%,67,8.50%,40,4.00%,812,100.00%
인천,초,531,37.00%,673,21.60%,472,19.60%,397,19.10%,51,2.80%,"2,124",100.00%
인천,중,966,41.50%,799,31.90%,247,10.30%,335,12.50%,83,3.80%,"2,430",100.00%
인천,고,727,37.50%,440,39.10%,119,9.40%,145,9.40%,72,4.50%,"1,503",100.00%
인천,특수,7,9.70%,12,22.60%,12,38.70%,7,22.60%,2,6.50%,40,100.00%
인천,기타,36,54.00%,43,28.60%,11,7.90%,6,4.80%,  ,4.80%,96,100.00%
인천,소계,"2,411",35.50%,"2,146",27.40%,"1,243",20.60%,957,12.70%,248,3.80%,"7,005",100.00%
광주,유,45,14.70%,32,17.80%,127,59.10%,32,6.30%,17,2.10%,253,100.00%
광주,초,346,37.40%,418,18.50%,310,20.20%,225,22.00%,65,2.00%,"1,364",100.00%
광주,중,701,37.40%,660,34.00%,200,12.20%,250,13.10%,59,3.40%,"1,870",100.00%
광주,고,337,39.50%,326,35.60%,78,10.80%,77,9.50%,62,4.70%,880,100.00%
광주,특수,3,9.10%,5,9.10%,3,63.60%,4,18.20%,2,0.00%,17,100.00%
광주,기타,8,28.60%,  ,57.10%,2,14.30%,  ,0.00%,1,0.00%,11,100.00%
광주,소계,"1,440",35.00%,"1,441",27.70%,720,20.10%,588,14.30%,206,3.00%,"4,395",100.00%
