 ◦ 2022년 학교안전사고 발생건수(형태),,,,,,,,,,,,,,,
(단위 : 건),,,,,,,,,,,,,,,
지역,"학교
급별",물리적힘 노출,,낙상넘어짐,,낙상미끄러짐,,기타**,,사람과의 충돌,,낙상떨어짐,,합계,
,,건수,분율,건수,분율,건수,분율,건수,분율,건수,분율,건수,분율,건수,분율
합계,유,"3,969",44.00%,"2,040",22.60%,881,9.80%,"1,465",16.30%,288,3.20%,372,4.10%,"9,015",100.00%
합계,초,"21,587",40.90%,"15,612",29.60%,"8,049",15.30%,"3,519",6.70%,"1,849",3.50%,"2,135",4.00%,"52,751",100.00%
합계,중,"27,226",47.60%,"14,027",24.50%,"9,083",15.90%,"3,626",6.30%,"1,804",3.20%,"1,402",2.50%,"57,168",100.00%
합계,고,"11,725",39.90%,"7,798",26.60%,"5,523",18.80%,"2,505",8.50%,968,3.30%,844,2.90%,"29,363",100.00%
합계,특수,174,31.20%,153,27.50%,84,15.10%,111,19.90%,15,2.70%,20,3.60%,557,100.00%
합계,기타,203,41.90%,148,30.50%,81,16.70%,34,7.00%,9,1.90%,10,2.10%,485,100.00%
합계,계,"64,884",43.40%,"39,778",26.60%,"23,701",15.90%,"11,260",7.50%,"4,933",3.30%,"4,783",3.20%,"149,339",100.00%
서울*,유,615,54.40%,  ,0.00%,351,31.00%,128,11.30%,  ,0.00%,37,3.30%,"1,131",100.00%
서울*,초,"4,238",50.20%,  ,0.00%,"3,522",41.70%,488,5.80%,  ,0.00%,190,2.30%,"8,438",100.00%
서울*,중,"5,600",56.10%,  ,0.00%,"3,705",37.10%,545,5.50%,  ,0.00%,137,1.40%,"9,987",100.00%
서울*,고,"2,307",48.80%,  ,0.00%,"2,011",42.50%,337,7.10%,  ,0.00%,73,1.50%,"4,728",100.00%
서울*,특수,46,45.50%,  ,0.00%,37,36.60%,14,13.90%,  ,0.00%,4,4.00%,101,100.00%
서울*,기타,50,51.00%,  ,0.00%,45,45.90%,3,3.10%,  ,0.00%,  ,0.00%,98,100.00%
서울*,소계,"12,856",52.50%,  ,0.00%,"9,671",39.50%,"1,515",6.20%,  ,0.00%,441,1.80%,"24,483",100.00%
부산,유,295,45.20%,160,24.50%,47,7.20%,107,16.40%,21,3.20%,22,3.40%,652,100.00%
부산,초,"1,025",36.50%,989,35.20%,274,9.70%,211,7.50%,139,4.90%,174,6.20%,"2,812",100.00%
부산,중,"1,277",46.90%,801,29.40%,331,12.10%,150,5.50%,104,3.80%,62,2.30%,"2,725",100.00%
부산,고,581,37.60%,486,31.40%,254,16.40%,114,7.40%,64,4.10%,47,3.00%,"1,546",100.00%
부산,특수,22,35.50%,18,29.00%,5,8.10%,14,22.60%,2,3.20%,1,1.60%,62,100.00%
부산,기타,5,17.90%,13,46.40%,4,14.30%,5,17.90%,  ,0.00%,1,3.60%,28,100.00%
부산,소계,"3,205",41.00%,"2,467",31.50%,915,11.70%,601,7.70%,330,4.20%,307,3.90%,"7,825",100.00%
대구,유,160,39.60%,114,28.20%,22,5.40%,74,18.30%,16,4.00%,18,4.50%,404,100.00%
대구,초,901,40.50%,787,35.40%,172,7.70%,186,8.40%,86,3.90%,94,4.20%,"2,226",100.00%
대구,중,"1,126",47.90%,717,30.50%,219,9.30%,151,6.40%,90,3.80%,48,2.00%,"2,351",100.00%
대구,고,430,36.20%,360,30.30%,166,14.00%,142,12.00%,57,4.80%,32,2.70%,"1,187",100.00%
대구,특수,6,17.60%,13,38.20%,5,14.70%,6,17.60%,1,2.90%,3,8.80%,34,100.00%
대구,기타,13,59.10%,6,27.30%,1,4.50%,2,9.10%,  ,0.00%,  ,0.00%,22,100.00%
대구,소계,"2,636",42.40%,"1,997",32.10%,585,9.40%,561,9.00%,250,4.00%,195,3.10%,"6,224",100.00%
인천,유,364,44.80%,192,23.60%,47,5.80%,155,19.10%,27,3.30%,27,3.30%,812,100.00%
인천,초,802,37.80%,823,38.70%,229,10.80%,131,6.20%,59,2.80%,80,3.80%,"2,124",100.00%
인천,중,"1,048",43.10%,784,32.30%,259,10.70%,188,7.70%,76,3.10%,75,3.10%,"2,430",100.00%
인천,고,579,38.50%,509,33.90%,194,12.90%,121,8.10%,58,3.90%,42,2.80%,"1,503",100.00%
인천,특수,15,37.50%,14,35.00%,4,10.00%,7,17.50%,  ,0.00%,  ,0.00%,40,100.00%
인천,기타,48,50.00%,38,39.60%,3,3.10%,2,2.10%,  ,0.00%,5,5.20%,96,100.00%
인천,소계,"2,856",40.80%,"2,360",33.70%,736,10.50%,604,8.60%,220,3.10%,229,3.30%,"7,005",100.00%
광주,유,103,40.70%,63,24.90%,19,7.50%,49,19.40%,14,5.50%,5,2.00%,253,100.00%
광주,초,543,39.80%,447,32.80%,174,12.80%,104,7.60%,43,3.20%,53,3.90%,"1,364",100.00%
광주,중,842,45.00%,534,28.60%,223,11.90%,133,7.10%,94,5.00%,44,2.40%,"1,870",100.00%
광주,고,318,36.10%,294,33.40%,139,15.80%,65,7.40%,36,4.10%,28,3.20%,880,100.00%
광주,특수,2,11.80%,9,52.90%,4,23.50%,1,5.90%,  ,0.00%,1,5.90%,17,100.00%
광주,기타,3,27.30%,4,36.40%,1,9.10%,2,18.20%,1,9.10%,  ,0.00%,11,100.00%
광주,소계,"1,811",41.20%,"1,351",30.70%,560,12.70%,354,8.10%,188,4.30%,131,3.00%,"4,395",100.00%
대전,유,193,42.40%,127,27.90%,28,6.20%,67,14.70%,23,5.10%,17,3.70%,455,100.00%
대전,초,520,40.30%,452,35.10%,130,10.10%,98,7.60%,51,4.00%,38,2.90%,"1,289",100.00%
대전,중,743,47.10%,454,28.80%,196,12.40%,103,6.50%,43,2.70%,37,2.30%,"1,576",100.00%
